Раздел;Вопрос;Вариант 1;Вариант 2;Вариант 3;Вариант 4;Правильный ответ
1 секция;Как назывался особый головной убор, который носили фараоны в Древнем Египте?;Картуз;Немес;Корона;Убрус;Немес
1 секция;Какие огурцы сажал на брезентовом поле герой одноименной песни?;Железные;Оловянные;Медные;Алюминиевые;Алюминиевые
1 секция;У какого животного самые большие глаза относительно тела?;У лемура;У летучей мыши;У долгопята;У тупайи;У долгопята
1 секция;Как называется страх перед мелкими скоплениями отверстий;Арахнофобия;Кинофобия;Трипофобия;Агорафобия;Трипофобия
1 секция;Сколько костей в человеческом теле?;306;206;106;406;206
2 секция;Как называется орган, которым дышат рыбы?;Легкие;Хвост;Чешуя;Жабры;Жабры
2 секция;Какой вид спорта считается американским увлечением?;Бокс;Бейсбол;Баскетбол;Гольф;Бейсбол
2 секция;Как назывался первый в истории фильм о собаках?;Кошки и собаки;Возвращение Лесси;Отели для собак;Альфа;Возвращение Лесси
2 секция;Как зовут человека за образом Мистера Бина?;Роуэн Аткинсон;Джеймс Корден;Роуэн Смит;Маколей Калкин;Роуэн Аткинсон
2 секция;Из скольких фильмов состоит серия Индиана Джонс?;3;5;4;2;5
3 секция;Какое первое название было у мороженого?;Джелато;Салат;Шейк;Сандэй;Джелато
3 секция;Сколько активных вулканов в мире?;1450;1400;1360;1350;1350
3 секция;Какой самый большой остров в мире?;Австралия;Филиппины;Гренландия;Россия;Гренландия
3 секция;Какая самая длинная река во Франции?;Сена;Рона;Луара;Гаронна;Луара
4 секция;Какая часть тела не может заживать самостоятельно?;Зубы;Мышцы;Ногти;Уши;Зубы
4 секция;Где находится сердце у креветки?;Хвосты;Голова;Грудь;Панцирь;Голова
4 секция;Как называются детеныши кроликов?;Детеныши;Козлята;Котята;Малыши;Котята
4 секция;Какое национальное животное Шотландии?;Лошадь;Коза;Корова;Единорог;Единорог
4 секция;Сколько складок на шляпе шеф-повара?;25;100;60;250;100
5 секция;Какое настоящее имя у Хэштега?;Октоторп;Сигноторп;Квадруполь;Октолейн;Октоторп
5 секция;Какая последняя буква была добавлена в английский алфавит;Z;F;J;D;J
5 секция;Какая самая маленькая страна в мире?;Бразилия;Вьетнам;Австралия;Ватикан;Ватикан
5 секция;Так называется страх чужого мнения;Аллодоксафобия;Хронофобия;Опинофобия;Астрафобия;Аллодоксафобия
